Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
146368,3,2,192,682,116508,1,98038,47564,32.28,41.96
146370,4,2,203,696,91714,1,89901,42696,32.28,41.96
149388,0,2,178,665,105295,1,80509,43987,32.42,41.85
149389,1,3,240,740,100354,1,79561,40734,32.42,41.85
149391,2,3,260,763,90420,1,88273,45394,32.42,41.85
149392,3,2,150,626,118617,1,99643,50177,32.42,41.85
149394,4,2,208,703,94359,1,91435,42422,32.42,41.85
152410,0,2,185,674,105259,1,80618,43616,32.52,41.47
152411,1,3,220,717,100218,1,82803,41640,32.52,41.47
152413,2,3,260,762,91188,1,88902,45424,32.52,41.47
152414,3,2,163,645,116745,1,99307,49285,32.52,41.47
152416,4,2,195,687,91963,1,93596,43074,32.52,41.47
155434,0,2,165,648,105224,1,79723,44707,32.70,41.20
155435,1,3,231,731,101998,1,81607,41108,32.70,41.20
155437,2,3,244,745,89901,1,89506,46184,32.70,41.20
155438,3,2,153,631,118979,1,101584,49956,32.70,41.20
155440,4,2,180,668,94008,1,93913,43868,32.70,41.20
158456,0,2,138,610,104337,1,81551,46356,32.85,41.01
158457,1,3,229,727,102899,1,82607,41233,32.85,41.01
158459,2,3,235,735,90481,1,87945,46592,32.85,41.01
158460,3,2,164,646,119949,1,100933,49251,32.85,41.01
158462,4,2,183,672,94136,1,94263,43690,32.85,41.01
161480,0,2,152,629,106622,1,82272,45517,32.94,40.64
161481,1,2,211,707,103703,1,83790,42037,32.94,40.64
161483,2,3,238,738,92776,1,90573,46450,32.94,40.64
161484,3,2,155,634,119301,1,102969,49805,32.94,40.64
161486,4,2,179,666,92243,1,94807,43927,32.94,40.64
164502,0,2,149,626,106477,1,81662,45655,33.04,40.39
164503,1,3,225,724,106118,1,84731,41373,33.04,40.39
164505,2,3,238,738,92587,1,90788,46482,33.04,40.39
164506,3,2,130,597,123367,1,103914,51571,33.04,40.39
164508,4,2,172,658,95969,1,96099,44286,33.04,40.39
167526,0,2,139,610,108258,1,83903,46325,33.18,40.08
167527,1,2,213,709,104620,1,84330,41951,33.18,40.08
167529,2,3,248,750,92587,1,93406,45966,33.18,40.08
167530,3,2,140,613,120846,1,104055,50826,33.18,40.08
167532,4,2,179,667,97839,1,97971,43913,33.18,40.08
170548,0,2,138,610,109067,1,84159,46356,33.28,39.88
170549,1,3,237,737,101584,1,84874,40858,33.28,39.88
170551,2,3,232,731,93786,1,93406,46766,33.28,39.88
170552,3,2,131,599,122451,1,105616,51484,33.28,39.88
170554,4,2,165,647,98038,1,99038,44738,33.28,39.88
173572,0,2,142,615,106190,1,85248,46121,33.41,39.60
173573,1,2,192,683,103809,1,85653,43015,33.41,39.60
173575,2,3,222,720,95483,1,93311,47259,33.41,39.60
